Job ID,Civil Service Title,Agency,Posting Type,Job Category,Salary Range From,Salary Range To
461740,CERTIFIED IT ADMINISTRATOR (LA,NYC HOUSING AUTHORITY,Internal,"Technology, Data & Innovation",98901.0,149277.0
329763,ADMINISTRATIVE PROCUREMENT ANA,NYC EMPLOYEES RETIREMENT SYS,Internal,Administration & Human Resources,100000.0,125000.0
496081,ASSOCIATE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",74650.0,109409.0
522837,COMMUNITY COORDINATOR,PRESIDENT BOROUGH OF MANHATTAN,External,"Engineering, Architecture, & Planning",60000.0,80000.0
525625,ADM MANAGER-NON-MGRL FRM M1/M2,TEACHERS RETIREMENT SYSTEM,Internal,"Administration & Human Resources Communications & Intergovernmental Affairs Technology, Data & Innovation",60718.0,80000.0
517318,PUBLIC HEALTH SANITARIAN,DEPT OF HEALTH/MENTAL HYGIENE,External,Health,45722.0,45722.0
527779,MAINTENANCE WORKER,NYC HOUSING AUTHORITY,External,Building Operations & Maintenance,29.98,31.16
485686,AGENCY ATTORNEY,DEPT OF ENVIRONMENT PROTECTION,Internal,Legal Affairs,82137.0,90351.0
527531,COMMUNITY COORDINATOR,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,54100.0,62215.0
505798,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement Policy, Research & Analysis",51550.0,65604.0
516590,EXECUTIVE PROGRAM SPECIALIST (,NYC HOUSING AUTHORITY,External,"Administration & Human Resources Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",72038.0,150000.0
526293,COMPUTER SPECIALIST (SOFTWARE),DEPT OF ENVIRONMENT PROTECTION,Internal,"Technology, Data & Innovation",92194.0,119610.0
515954,SUMMER COLLEGE INTERN,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",15.0,15.0
495440,STATIONARY ENGINEER,DEPT OF CITYWIDE ADMIN SVCS,Internal,"Engineering, Architecture, & Planning",508.8,508.8
474459,CONFIDENTIAL STRATEGY PLANNER,NYC EMPLOYEES RETIREMENT SYS,External,Communications & Intergovernmental Affairs,54990.0,75000.0
524232,ASSISTANT DISTRICT ATTORNEY (S,DISTRICT ATTORNEY RICHMOND COU,Internal,"Legal Affairs Policy, Research & Analysis",73500.0,76000.0
527295,SOCIAL WORKER,DEPARTMENT OF CORRECTION,External,Social Services,51079.0,58741.0
175362,CLERICAL ASSOCIATE,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Clerical & Administrative Support,32086.0,51981.0
435593,COMMUNITY COORDINATOR,DEPARTMENT OF CORRECTION,Internal,Communications & Intergovernmental Affairs,54100.0,62215.0
510600,CYBER SECURITY ANALYST,ADMIN TRIALS AND HEARINGS,Internal,"Technology, Data & Innovation",54281.0,63860.0
471371,COMMUNITY COORDINATOR,DEPARTMENT OF CORRECTION,Internal,Constituent Services & Community Programs Social Services,54100.0,62215.0
510442,CONGREG CARE SPEC-ACS(35 HR WK,ADMIN FOR CHILDREN'S SVCS,Internal,Social Services,42731.0,47726.0
507117,PROCUREMENT ANALYST,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",50972.0,82730.0
470206,COMPUTER SYSTEMS MANAGER,NYC HOUSING AUTHORITY,External,"Technology, Data & Innovation",80931.0,208826.0
526946,COMMUNITY COORDINATOR,DEPT OF PARKS & RECREATION,Internal,Constituent Services & Community Programs,54100.0,83981.0
527073,SUMMER COLLEGE INTERN,DEPARTMENT OF CITY PLANNING,External,"Engineering, Architecture, & Planning",17.5,17.5
460744,CONSTRUCTION PROJECT MANAGER,NYC HOUSING AUTHORITY,External,"Engineering, Architecture, & Planning",72063.0,122168.0
487286,INVESTMENT MANAGER (COMPTROLLE,OFFICE OF THE COMPTROLLER,Internal,"Finance, Accounting, & Procurement",100000.0,115000.0
520787,ASSISTANT RETIREMENT BENEFITS,TEACHERS RETIREMENT SYSTEM,External,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",41389.0,47597.0
521310,COOK,DEPARTMENT OF CORRECTION,External,Health,36627.0,41388.0
517029,PLUMBER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",369.53,369.53
512873,CUSTOMER INFORMATION REP,TAXI & LIMOUSINE COMMISSION,Internal,Constituent Services & Community Programs,37413.0,44000.0
483154,ECONOMIST,NYC HOUSING AUTHORITY,Internal,"Policy, Research & Analysis",56013.0,84862.0
524530,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement Policy, Research & Analysis",51550.0,73806.0
527052,COMMUNITY COORDINATOR,NYC HOUSING AUTHORITY,Internal,Administration & Human Resources,54100.0,83981.0
522895,ASSOCIATE HOUSING DEVELOPMENT,HOUSING PRESERVATION & DVLPMNT,Internal,"Policy, Research & Analysis",80000.0,90000.0
509732,EXECUTIVE AGENCY COUNSEL,CIVILIAN COMPLAINT REVIEW BD,Internal,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",58700.0,161534.0
469636,SENIOR STATIONARY ENGINEER (EL,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",69.35,69.35
524340,ASSOCIATE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",90114.0,122168.0
526322,ASSOCIATE HOUSING DEVELOPMENT,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,74650.0,85847.0
467925,ASSISTANT COMMISSIONER (DOC),DEPARTMENT OF CORRECTION,External,Constituent Services & Community Programs,130000.0,150000.0
516821,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,External,"Finance, Accounting, & Procurement Policy, Research & Analysis",51550.0,83399.0
525644,STAFF ANALYST,DEPARTMENT OF BUSINESS SERV.,External,Communications & Intergovernmental Affairs,53797.0,73243.0
443091,ADMINISTRATIVE ENGINEER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",72038.0,192152.0
521797,IT PROJECT SPECIALIST,TAXI & LIMOUSINE COMMISSION,External,"Technology, Data & Innovation",75000.0,135000.0
518088,COMMUNITY COORDINATOR,NYC HOUSING AUTHORITY,External,Constituent Services & Community Programs,54100.0,83981.0
525107,CLERICAL ASSOCIATE,CONSUMER AND WORKER PROTECTION,Internal,Legal Affairs,40017.0,52242.0
479541,IT AUTOMATION AND MONITORING E,DEPARTMENT OF CORRECTION,Internal,"Technology, Data & Innovation",100000.0,140000.0
527482,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,External,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",15.0,17.5
527532,COMMUNITY COORDINATOR,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,54100.0,62215.0
527416,PRINCIPAL ADMINISTRATIVE ASSOC,HRA/DEPT OF SOCIAL SERVICES,Internal,Administration & Human Resources Health Building Operations & Maintenance Social Services,58695.0,67499.0
515928,SUMMER GRADUATE INTERN,DEPT OF ENVIRONMENT PROTECTION,External,Legal Affairs,17.0,17.0
494629,CITY RESEARCH SCIENTIST,DEPT OF ENVIRONMENT PROTECTION,External,"Communications & Intergovernmental Affairs Policy, Research & Analysis",75504.0,86830.0
522606,CONFIDENTIAL AGENCY INVESTIGAT,DEPARTMENT OF CORRECTION,Internal,"Public Safety, Inspections, & Enforcement",95000.0,105000.0
493662,CONSTRUCTION PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",72063.0,122168.0
527210,ADMINISTRATIVE STAFF ANALYST (,BOARD OF CORRECTION,Internal,"Administration & Human Resources Finance, Accounting, & Procurement",130000.0,145000.0
522837,COMMUNITY COORDINATOR,PRESIDENT BOROUGH OF MANHATTAN,Internal,"Engineering, Architecture, & Planning",60000.0,80000.0
521219,INSPECTOR (CONSUMER AND WORKER,CONSUMER AND WORKER PROTECTION,External,"Public Safety, Inspections, & Enforcement",42507.0,48883.0
527822,SUPERVISOR ELECTRICIAN,NYC HOUSING AUTHORITY,Internal,Building Operations & Maintenance,67.72,67.72
521097,EVIDENCE AND PROPERTY CONTROL,POLICE DEPARTMENT,Internal,"Public Safety, Inspections, & Enforcement",51345.0,73495.0
518752,ASSOCIATE HOUSING DEVELOPMENT,HOUSING PRESERVATION & DVLPMNT,Internal,"Finance, Accounting, & Procurement",95000.0,105000.0
517379,ADMINISTRATIVE STAFF ANALYST (,DEPT OF DESIGN & CONSTRUCTION,Internal,"Finance, Accounting, & Procurement",84451.0,113550.0
493013,COMPUTER PROGRAMMER ANALYST,DEPT OF ENVIRONMENT PROTECTION,Internal,"Technology, Data & Innovation",28.0421,38.7165
527534,COMMUNITY COORDINATOR,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,54100.0,62215.0
526627,IT SERVICE MANAGEMENT SPECIALI,FINANCIAL INFO SVCS AGENCY,Internal,"Technology, Data & Innovation",100000.0,110000.0
485822,COMPUTER SYSTEMS MANAGER,NYC EMPLOYEES RETIREMENT SYS,External,"Technology, Data & Innovation",125000.0,130000.0
527858,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement Policy, Research & Analysis",51550.0,73806.0
469360,EXECUTIVE AGENCY COUNSEL,NYC HOUSING AUTHORITY,External,Legal Affairs,58700.0,122000.0
518550,DIRECTOR OF PUBLIC AFFAIRS,DEPARTMENT OF CORRECTION,Internal,"Policy, Research & Analysis",100000.0,115000.0
513871,ADMINISTRATIVE STAFF ANALYST (,TAXI & LIMOUSINE COMMISSION,External,Communications & Intergovernmental Affairs,145000.0,165000.0
512514,AGENCY ATTORNEY INTERNE,TAXI & LIMOUSINE COMMISSION,Internal,Legal Affairs,62397.0,75760.0
469036,ADM MANAGER-NON-MGRL FRM M1/M2,DEPARTMENT OF TRANSPORTATION,Internal,Constituent Services & Community Programs,74730.0,161534.0
526678,IT PROJECT SPECIALIST,FINANCIAL INFO SVCS AGENCY,External,"Technology, Data & Innovation",105000.0,115000.0
465593,ASSOCIATE STAFF ANALYST,DEPT OF ENVIRONMENT PROTECTION,External,Constituent Services & Community Programs,65731.0,97873.0
521652,ECONOMIST,DEPARTMENT OF TRANSPORTATION,Internal,"Policy, Research & Analysis",59422.0,92758.0
465340,AGENCY ATTORNEY,DEPARTMENT OF TRANSPORTATION,External,Legal Affairs,63228.0,96526.0
526979,SUMMER GRADUATE INTERN,DEPT OF DESIGN & CONSTRUCTION,External,"Engineering, Architecture, & Planning",15.93,24.73
372246,PROCUREMENT ANALYST,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Finance, Accounting, & Procurement",56981.0,93904.0
525821,CLERICAL ASSOCIATE,HRA/DEPT OF SOCIAL SERVICES,Internal,Social Services,36390.0,41848.0
526621,IT SECURITY SPECIALIST,FINANCIAL INFO SVCS AGENCY,External,"Technology, Data & Innovation",75000.0,160000.0
524425,INDUSTRIAL HYGIENIST,NYC HOUSING AUTHORITY,Internal,"Public Safety, Inspections, & Enforcement",56041.0,75318.0
514382,PUBLIC HEALTH EPIDEMIOLOGIST,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health,63053.0,88999.0
520283,PROBATION ASSISTANT,DEPARTMENT OF PROBATION,Internal,"Public Safety, Inspections, & Enforcement",32260.0,39028.0
526788,SUMMER COLLEGE INTERN,DEPARTMENT OF CITY PLANNING,External,"Engineering, Architecture, & Planning",17.5,17.5
527412,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,Internal,"Engineering, Architecture, & Planning",15.0,17.5
489392,EXECUTIVE AGENCY COUNSEL,HUMAN RIGHTS COMMISSION,External,Legal Affairs,95000.0,95000.0
519171,ASSOCIATE STAFF ANALYST,DEPARTMENT OF SANITATION,Internal,"Policy, Research & Analysis",70611.0,105138.0
521964,CITY CUSTODIAL ASSISTANT,DEPT OF CITYWIDE ADMIN SVCS,External,Building Operations & Maintenance,32260.0,36915.0
520534,ASSOCIATE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",90114.0,122168.0
519106,BOOKKEEPER,DEPARTMENT OF SANITATION,External,"Finance, Accounting, & Procurement",43365.0,57539.0
520623,AGENCY ATTORNEY INTERNE,CIVILIAN COMPLAINT REVIEW BD,External,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",62397.0,75760.0
527338,ASSISTANT PLAN EXAMINER (BLDGS,DEPARTMENT OF BUILDINGS,External,"Engineering, Architecture, & Planning",59661.0,68610.0
523905,CARETAKER (HA),NYC HOUSING AUTHORITY,Internal,Building Operations & Maintenance,31836.0,46278.0
521244,INDUSTRIAL HYGIENIST,DEPT OF ENVIRONMENT PROTECTION,External,"Public Safety, Inspections, & Enforcement",56041.0,75318.0
525772,COLLEGE AIDE (ALL CITY DEPTS),DEPT OF HEALTH/MENTAL HYGIENE,External,Health Building Operations & Maintenance,15.5,16.0
518487,CLERICAL ASSOCIATE,OFF OF PAYROLL ADMINISTRATION,Internal,"Administration & Human Resources Policy, Research & Analysis",32850.0,48940.0
468392,EXECUTIVE PROGRAM SPECIALIST (,DEPARTMENT OF CORRECTION,Internal,Administration & Human Resources,140000.0,160000.0
526822,CLERICAL ASSOCIATE,DEPT OF DESIGN & CONSTRUCTION,External,Administration & Human Resources,40017.0,46019.0
465593,ASSOCIATE STAFF ANALYST,DEPT OF ENVIRONMENT PROTECTION,Internal,Constituent Services & Community Programs,65731.0,97873.0
522912,CUSTOMER INFORMATION REP,LAW DEPARTMENT,Internal,"Finance, Accounting, & Procurement",51340.0,55364.0
522912,CUSTOMER INFORMATION REP,LAW DEPARTMENT,Internal,"Finance, Accounting, & Procurement",51340.0,55364.0
526089,ADMINISTRATIVE RETIREMENT BENE,TEACHERS RETIREMENT SYSTEM,External,"Policy, Research & Analysis",72038.0,95000.0
519911,COMMUNITY PLANNING BOARD COORD,PRESIDENT BOROUGH OF MANHATTAN,Internal,Constituent Services & Community Programs,60000.0,60000.0
507492,ADM MANAGER-NON-MGRL FRM M1/M2,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",60718.0,90773.0
506981,CITY RESEARCH SCIENTIST,DEPT OF ENVIRONMENT PROTECTION,Internal,"Technology, Data & Innovation",75504.0,94761.0
524852,AGENCY ATTORNEY,DEPARTMENT OF CORRECTION,Internal,Legal Affairs,79620.0,91563.0
484389,CIVIL ENGINEER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",80557.0,92640.0
523649,COLLEGE AIDE (ALL CITY DEPTS),DEPARTMENT OF SANITATION,External,Administration & Human Resources,15.5,19.9
470441,ASSOCIATE INSPECTOR (HOUSING),NYC HOUSING AUTHORITY,Internal,"Public Safety, Inspections, & Enforcement",67902.0,95679.0
433632,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",46856.0,70291.0
515935,SUMMER GRADUATE INTERN,DEPT OF ENVIRONMENT PROTECTION,External,Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,17.0,17.0
527177,ADMINISTRATIVE CONSTRUCTION PR,DEPT OF DESIGN & CONSTRUCTION,External,"Engineering, Architecture, & Planning",64922.0,150419.0
510654,ARCHITECT,DEPT OF CITYWIDE ADMIN SVCS,Internal,"Engineering, Architecture, & Planning",90114.0,100000.0
462494,INDUSTRIAL HYGIENIST,DEPT OF ENVIRONMENT PROTECTION,Internal,"Public Safety, Inspections, & Enforcement",56041.0,75318.0
499191,COMMUNITY COORDINATOR,HUMAN RIGHTS COMMISSION,External,Constituent Services & Community Programs Legal Affairs Social Services,54100.0,62215.0
526667,CLERICAL ASSOCIATE,HRA/DEPT OF SOCIAL SERVICES,Internal,Administration & Human Resources Social Services,36390.0,41848.0
308024,ADM MANAGER-NON-MGRL FRM M1/M2,POLICE DEPARTMENT,Internal,Administration & Human Resources,55590.0,150371.0
522122,COMMUNITY COORDINATOR,DEPT OF YOUTH & COMM DEV SRVS,External,Constituent Services & Community Programs,54100.0,83981.0
500294,INVESTIGATOR (DISCIPLINE) (DOC,DEPARTMENT OF CORRECTION,Internal,"Public Safety, Inspections, & Enforcement",58167.0,58167.0
527045,CLERICAL ASSOCIATE,LAW DEPARTMENT,Internal,Administration & Human Resources,36390.0,58953.0
500757,CONFIDENTIAL INVESTIGATOR,DEPARTMENT OF INVESTIGATION,External,"Public Safety, Inspections, & Enforcement",45113.0,55000.0
526767,SUMMER COLLEGE INTERN,DEPARTMENT OF CITY PLANNING,Internal,"Engineering, Architecture, & Planning",17.5,17.5
526142,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,External,"Finance, Accounting, & Procurement Policy, Research & Analysis",73806.0,83399.0
455903,AGENCY ATTORNEY,DEPARTMENT OF CORRECTION,Internal,"Policy, Research & Analysis",83158.0,95632.0
523209,SUMMER GRADUATE INTERN,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Policy, Research & Analysis",17.0,17.0
526861,CITY PLANNER,DEPARTMENT OF CITY PLANNING,Internal,"Engineering, Architecture, & Planning",55208.0,65208.0
479505,IT INFRASTRUCTURE ENGINEER,DEPARTMENT OF CORRECTION,External,"Technology, Data & Innovation",90000.0,150000.0
519107,ADMINISTRATIVE RETIREMENT BENE,TEACHERS RETIREMENT SYSTEM,External,"Finance, Accounting, & Procurement",72038.0,140000.0
515917,SUMMER COLLEGE INTERN,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning",15.0,15.0
511006,ASSOCIATE INVESTIGATOR (NOT PR,DEPARTMENT OF TRANSPORTATION,Internal,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",60132.0,84611.0
466099,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement Policy, Research & Analysis",98388.0,98388.0
516743,CYBER SECURITY ANALYST,HUMAN RIGHTS COMMISSION,External,"Technology, Data & Innovation",54281.0,75000.0
527512,POLICE ADMINISTRATIVE AIDE,POLICE DEPARTMENT,Internal,Administration & Human Resources,36390.0,55228.0
525107,CLERICAL ASSOCIATE,CONSUMER AND WORKER PROTECTION,External,Legal Affairs,40017.0,52242.0
465100,CITY RESEARCH SCIENTIST,POLICE DEPARTMENT,External,"Policy, Research & Analysis",75504.0,86830.0
518399,CUSTOMER INFORMATION REP,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Communications & Intergovernmental Affairs Health,37413.0,40345.0
521144,POLICE ADMINISTRATIVE AIDE,POLICE DEPARTMENT,Internal,Administration & Human Resources,36390.0,55228.0
315372,"LEGAL SECRETARIAL ASST- L2,3,4",LAW DEPARTMENT,Internal,Administration & Human Resources,43319.0,54913.0
499625,PROCUREMENT ANALYST,FINANCIAL INFO SVCS AGENCY,Internal,"Finance, Accounting, & Procurement",60010.0,80000.0
525255,COMPUTER SYSTEMS MANAGER,TAXI & LIMOUSINE COMMISSION,External,"Technology, Data & Innovation",58700.0,125000.0
526685,PROBATION ASSISTANT,DEPARTMENT OF PROBATION,Internal,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement",32260.0,39028.0
500542,ADM ENGINEER (NON MGRL),DEPT OF ENVIRONMENT PROTECTION,Internal,"Public Safety, Inspections, & Enforcement",53702.0,93838.0
521124,ADM CONSTRUCTION PRJ MGR-NM,DEPT OF DESIGN & CONSTRUCTION,External,"Engineering, Architecture, & Planning",53702.0,97250.0
520251,ENVIRONMENTAL ENGINEER,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",90114.0,122168.0
482478,CUSTOMER INFORMATION REP,TAXI & LIMOUSINE COMMISSION,External,Constituent Services & Community Programs,37413.0,44380.0
523670,SENIOR POLICE ADMINISTRATIVE A,POLICE DEPARTMENT,Internal,Administration & Human Resources,43929.0,57093.0
523714,SUMMER GRADUATE INTERN,DEPARTMENT OF FINANCE,External,"Administration & Human Resources Technology, Data & Innovation",19.93,24.73
497080,INDUSTRIAL HYGIENIST,DEPT OF ENVIRONMENT PROTECTION,External,Health,56041.0,75318.0
500127,LANDSCAPE ARCHITECT,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",67757.0,98128.0
526959,ASSISTANT RETIREMENT BENEFITS,NYC FIRE PENSION FUND,Internal,"Finance, Accounting, & Procurement",41389.0,55839.0
526992,SENIOR STATIONARY ENGINEER (EL,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",150858.0,150858.0
527400,COMMUNITY ASSOCIATE,DEPARTMENT OF CORRECTION,External,Social Services,38333.0,44083.0
509732,EXECUTIVE AGENCY COUNSEL,CIVILIAN COMPLAINT REVIEW BD,External,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",58700.0,161534.0
520028,SUMMER COLLEGE INTERN,OFFICE OF MANAGEMENT & BUDGET,External,"Finance, Accounting, & Procurement",15.75,15.75
209609,CLERICAL ASSOCIATE,DEPT OF HEALTH/MENTAL HYGIENE,External,Clerical & Administrative Support,28965.0,43152.0
495440,STATIONARY ENGINEER,DEPT OF CITYWIDE ADMIN SVCS,External,"Engineering, Architecture, & Planning",508.8,508.8
509611,PRINCIPAL ADMINISTRATIVE ASSOC,ADMIN TRIALS AND HEARINGS,External,Legal Affairs,53057.0,65000.0
516743,CYBER SECURITY ANALYST,HUMAN RIGHTS COMMISSION,Internal,"Technology, Data & Innovation",54281.0,75000.0
230490,COMPUTER ASSOC (OPERATIONS),LAW DEPARTMENT,Internal,Information Technology & Telecommunications,55556.0,82776.0
465824,ADM CONSTRUCTION PRJ MGR-NM,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",53702.0,146121.0
527076,SUMMER COLLEGE INTERN,DEPARTMENT OF CITY PLANNING,External,Legal Affairs,17.5,17.5
526627,IT SERVICE MANAGEMENT SPECIALI,FINANCIAL INFO SVCS AGENCY,External,"Technology, Data & Innovation",100000.0,110000.0
520894,SUMMER COLLEGE INTERN,DEPT OF ENVIRONMENT PROTECTION,External,Administration & Human Resources Constituent Services & Community Programs,15.0,15.0
451443,ECONOMIST,NYC HOUSING AUTHORITY,Internal,"Finance, Accounting, & Procurement",56013.0,84862.0
523489,SUMMER COLLEGE INTERN,OFFICE OF MANAGEMENT & BUDGET,External,Administration & Human Resources,15.75,15.75
520595,MARINE ENGINEER,DEPARTMENT OF TRANSPORTATION,External,Building Operations & Maintenance,59938.0,64231.0
439675,PLUMBER'S HELPER,NYC HOUSING AUTHORITY,Internal,Building Operations & Maintenance,36.95,36.95
482440,ASSISTANT DISTRICT ATTORNEY (S,DISTRICT ATTORNEY RICHMOND COU,External,"Legal Affairs Policy, Research & Analysis",77000.0,93000.0
517806,QUALITY ASSURANCE SPECIALIST (,NYC HOUSING AUTHORITY,Internal,"Public Safety, Inspections, & Enforcement",45137.0,64043.0
475316,ADMIN INSPECTOR (ELECTRICAL)NM,FIRE DEPARTMENT,Internal,"Public Safety, Inspections, & Enforcement",53702.0,76104.0
425693,CLERICAL ASSOCIATE,LAW DEPARTMENT,Internal,Legal Affairs,19.9179,22.9053
519372,ADMINISTRATIVE CONTRACT SPECIA,TAXI & LIMOUSINE COMMISSION,Internal,"Finance, Accounting, & Procurement",58700.0,113550.0
500072,ADMINISTRATIVE INSPECTOR (HOUS,NYC HOUSING AUTHORITY,Internal,"Public Safety, Inspections, & Enforcement",110000.0,120000.0
466465,CITY RESEARCH SCIENTIST,DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Policy, Research & Analysis",84468.0,111003.0
522212,STAFF ANALYST,TAXI & LIMOUSINE COMMISSION,External,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",62470.0,80008.0
385306,FAMILY PUB HEALTH NURSE (HMH),DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health,86194.0,86194.0
523134,SUMMER COLLEGE INTERN,DEPT OF ENVIRONMENT PROTECTION,Internal,Administration & Human Resources,15.0,15.0
527167,COMMUNITY COORDINATOR,HOUSING PRESERVATION & DVLPMNT,External,"Public Safety, Inspections, & Enforcement",70000.0,70000.0
462585,AGENCY ATTORNEY,DEPARTMENT OF CORRECTION,External,Legal Affairs,83158.0,95632.0
468629,URBAN PARK RANGER,DEPT OF PARKS & RECREATION,External,"Public Safety, Inspections, & Enforcement",24.2505,24.2505
468994,AIR POLLUTION INSPECTOR,DEPT OF ENVIRONMENT PROTECTION,External,"Public Safety, Inspections, & Enforcement",34951.0,44304.0
523766,COMPUTER ASSOC (SOFTWARE),DEPARTMENT OF CITY PLANNING,Internal,"Technology, Data & Innovation",71707.0,82463.0
510255,ASSOCIATE WATER USE INSPECTOR,DEPT OF ENVIRONMENT PROTECTION,Internal,Building Operations & Maintenance,69435.0,87548.0
511705,ADMIN COMMUNITY RELATIONS SPEC,NYC HOUSING AUTHORITY,Internal,"Public Safety, Inspections, & Enforcement",64749.0,134280.0
514986,SECRETARY TO DEPUTY EXECUTIVE,NYC HOUSING AUTHORITY,External,Administration & Human Resources,72292.0,72292.0
527706,CARETAKER (HA),NYC HOUSING AUTHORITY,Internal,Building Operations & Maintenance,31836.0,46278.0
527338,ASSISTANT PLAN EXAMINER (BLDGS,DEPARTMENT OF BUILDINGS,Internal,"Engineering, Architecture, & Planning",59661.0,68610.0
527668,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,External,Administration & Human Resources Constituent Services & Community Programs,15.0,17.5
523671,COMMUNITY COORDINATOR,DEPARTMENT OF SANITATION,Internal,Constituent Services & Community Programs,54100.0,83981.0
522865,ASSISTANT CORPORATION COUNSEL,LAW DEPARTMENT,External,Legal Affairs,73579.0,133040.0
517530,ADMINISTRATIVE PROJECT MANAGER,DEPT OF DESIGN & CONSTRUCTION,External,"Engineering, Architecture, & Planning",53702.0,148745.0
501534,ADM CONSTRUCTION PRJ MGR-NM,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Technology, Data & Innovation",53702.0,146121.0
518847,MANAGEMENT AUDITOR TRAINEE,NYC HOUSING AUTHORITY,External,"Finance, Accounting, & Procurement",45428.0,52242.0
483273,AUTO BODY WORKER,POLICE DEPARTMENT,Internal,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",50604.0,65339.0
521966,COMPUTER SPECIALIST (SOFTWARE),DEPT OF YOUTH & COMM DEV SRVS,Internal,"Technology, Data & Innovation",85371.0,109990.0
500743,ASSOCIATE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",90114.0,122168.0
490239,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF ENVIRONMENT PROTECTION,Internal,"Administration & Human Resources Finance, Accounting, & Procurement",53057.0,77124.0
524273,CITY SEASONAL AIDE,DEPT OF PARKS & RECREATION,External,Building Operations & Maintenance,15.45,15.45
527808,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,External,"Technology, Data & Innovation",51550.0,73806.0
